team,league,pts,mp,ens_projected,ens_p5,ens_p95,ens_std,ens_rank
Arsenal,ENG-Premier League,57,26,81.6264,74.0,88.0,4.20659280653595,1
Man City,ENG-Premier League,53,26,74.0392,67.0,81.0,4.418332644788077,2
Aston Villa,ENG-Premier League,50,26,69.9371,63.0,77.0,4.399425370431915,3
Chelsea,ENG-Premier League,44,26,63.4598,57.0,70.0,4.2417194579557,4
Liverpool,ENG-Premier League,42,26,63.4421,56.0,71.0,4.436310132305901,5
Man United,ENG-Premier League,45,26,62.2871,55.0,70.0,4.389928654317744,6
Brentford,ENG-Premier League,40,26,57.4456,50.0,65.0,4.283998207282538,7
Bournemouth,ENG-Premier League,37,26,54.7466,48.0,62.0,4.368362214835212,8
Newcastle,ENG-Premier League,36,26,53.9131,47.0,61.0,4.3385421964065305,9
Everton,ENG-Premier League,37,26,52.1642,45.0,59.0,4.282783949722424,10
Fulham,ENG-Premier League,34,26,50.4065,43.0,58.0,4.342425330388537,11
Sunderland,ENG-Premier League,36,26,47.4716,41.0,55.0,4.149963064895879,12
Brighton,ENG-Premier League,31,26,47.2082,40.0,54.0,4.3007270036588,13
Crystal Palace,ENG-Premier League,32,26,45.7891,39.0,53.0,4.1682635701212565,14
Leeds,ENG-Premier League,30,26,44.8308,38.0,52.0,4.264477853149199,15
Tottenham,ENG-Premier League,29,26,44.3857,38.0,51.0,4.229578644498764,16
Nott'm Forest,ENG-Premier League,27,26,41.0158,34.0,48.0,4.2582802115408045,17
West Ham,ENG-Premier League,24,26,35.9411,29.0,43.0,4.070138915319722,18
Burnley,ENG-Premier League,18,26,29.4357,23.0,36.0,4.075201284599326,19
Wolves,ENG-Premier League,9,26,20.1691,14.0,27.0,4.045232402470839,20
Barcelona,ESP-La Liga,58,23,90.6006,83.0,98.0,4.480901654801185,1
Real Madrid,ESP-La Liga,57,23,85.3385,78.0,92.0,4.492584751565628,2
Ath Madrid,ESP-La Liga,45,23,70.4999,63.0,78.0,4.671809070370919,3
Villarreal,ESP-La Liga,45,22,68.7668,61.0,77.0,4.968925211753544,4
Betis,ESP-La Liga,38,23,60.7996,53.0,68.0,4.630209481222205,5
Celta,ESP-La Liga,33,23,52.7425,45.0,60.0,4.656478685659368,6
Espanol,ESP-La Liga,34,23,49.8127,43.0,57.0,4.428929747693002,7
Sociedad,ESP-La Liga,31,23,49.7464,42.0,57.0,4.606569986443275,8
Osasuna,ESP-La Liga,29,23,48.001,40.0,56.0,4.7318494270211096,9
Ath Bilbao,ESP-La Liga,28,23,47.3563,40.0,55.0,4.757346982300114,10
Girona,ESP-La Liga,26,23,42.8027,35.0,51.0,4.780603801822527,11
Alaves,ESP-La Liga,25,23,42.2147,35.0,50.0,4.687601082643446,12
Mallorca,ESP-La Liga,24,23,42.0093,35.0,50.0,4.558400323578437,13
Getafe,ESP-La Liga,26,23,41.7203,35.0,49.0,4.470555660094168,14
Vallecano,ESP-La Liga,22,22,40.2565,33.0,48.0,4.6848167253372885,15
Valencia,ESP-La Liga,23,23,40.0052,32.0,48.0,4.6493841484652565,16
Sevilla,ESP-La Liga,25,23,39.3487,32.0,47.0,4.383869102744743,17
Elche,ESP-La Liga,24,23,37.986,31.0,45.0,4.361536885089933,18
Levante,ESP-La Liga,18,22,33.6555,26.0,41.0,4.493085771493796,19
Oviedo,ESP-La Liga,16,22,16.0,16.0,16.0,0.0,20
Paris SG,FRA-Ligue 1,51,21,81.7359,75.0,88.0,3.8638259782241744,1
Lens,FRA-Ligue 1,49,21,71.4162,64.0,79.0,4.412570402837783,2
Lyon,FRA-Ligue 1,42,21,64.3137,57.0,71.0,4.391502283957052,3
Marseille,FRA-Ligue 1,39,21,61.1402,54.0,69.0,4.582678688278286,4
Lille,FRA-Ligue 1,33,21,53.7676,46.0,61.0,4.465847090978373,5
Strasbourg,FRA-Ligue 1,30,21,49.4013,42.0,57.0,4.610711258580394,6
Rennes,FRA-Ligue 1,31,21,48.6259,41.0,56.0,4.433773696299801,7
Toulouse,FRA-Ligue 1,30,21,47.1148,40.0,54.0,4.446888907989495,8
Monaco,FRA-Ligue 1,28,21,46.4663,39.0,54.0,4.432929540382974,9
Lorient,FRA-Ligue 1,28,21,43.7354,37.0,51.0,4.348975378178175,10
Brest,FRA-Ligue 1,26,21,43.575,36.0,51.0,4.511271993573431,11
Angers,FRA-Ligue 1,29,21,43.3909,36.0,51.0,4.365764216033661,12
Nice,FRA-Ligue 1,23,21,37.5141,31.0,45.0,4.2705036225251,13
Le Havre,FRA-Ligue 1,23,21,36.9518,30.0,44.0,4.28619607111014,14
Paris FC,FRA-Ligue 1,22,21,35.4223,29.0,43.0,4.290566711985726,15
Auxerre,FRA-Ligue 1,14,21,28.9527,22.0,36.0,4.4543083312676055,16
Metz,FRA-Ligue 1,13,21,26.376,20.0,34.0,4.307693582417394,17
Nantes,FRA-Ligue 1,14,21,25.69,19.0,33.0,4.076039744654117,18
Bayern Munich,GER-Bundesliga,54,21,83.4332,77.0,90.0,4.002616364329712,1
Dortmund,GER-Bundesliga,48,21,72.1404,65.0,79.0,4.461579074722312,2
Hoffenheim,GER-Bundesliga,42,21,63.2453,55.0,71.0,4.642750037423941,3
RB Leipzig,GER-Bundesliga,39,21,61.1099,54.0,68.0,4.476652989678785,4
Stuttgart,GER-Bundesliga,39,21,59.8389,53.0,67.0,4.478967156610997,5
Leverkusen,GER-Bundesliga,36,20,59.6204,52.0,67.0,4.663379015263503,6
Freiburg,GER-Bundesliga,30,21,47.0407,40.0,54.0,4.4224476831275235,7
Ein Frankfurt,GER-Bundesliga,28,21,45.3254,38.0,53.0,4.349128055139329,8
Union Berlin,GER-Bundesliga,25,21,40.6202,34.0,48.0,4.364808353181156,9
Mainz,GER-Bundesliga,21,21,39.38,32.0,47.0,4.456815006257271,10
Augsburg,GER-Bundesliga,22,21,37.0885,30.0,45.0,4.390975717309309,11
M'gladbach,GER-Bundesliga,22,21,36.4557,30.0,44.0,4.27123372223998,12
FC Koln,GER-Bundesliga,23,21,36.0957,29.0,43.0,4.308217904191941,13
Hamburg,GER-Bundesliga,22,20,36.0467,29.0,44.0,4.514656034516916,14
Werder Bremen,GER-Bundesliga,19,21,34.7902,28.0,42.0,4.461096721659372,15
Wolfsburg,GER-Bundesliga,19,21,34.6106,27.0,42.0,4.487690680071433,16
St Pauli,GER-Bundesliga,17,21,30.0691,23.0,37.0,4.235295171531732,17
Heidenheim,GER-Bundesliga,13,21,25.6323,19.0,33.0,4.180585689828639,18
Inter,ITA-Serie A,58,24,88.2284,81.0,95.0,4.4289088317552885,1
Milan,ITA-Serie A,50,23,78.1506,70.0,86.0,4.728564226062707,2
Napoli,ITA-Serie A,49,24,74.7949,67.0,82.0,4.600916646712913,3
Juventus,ITA-Serie A,46,24,70.8728,64.0,78.0,4.432856884673811,4
Roma,ITA-Serie A,46,24,70.7188,63.0,78.0,4.542149993119999,5
Como,ITA-Serie A,41,23,66.0424,58.0,74.0,4.813585175313718,6
Atalanta,ITA-Serie A,39,24,63.1616,55.0,71.0,4.663355598707866,7
Lazio,ITA-Serie A,33,24,52.2932,45.0,60.0,4.619094474028432,8
Bologna,ITA-Serie A,30,24,49.0134,42.0,57.0,4.621279091333913,9
Udinese,ITA-Serie A,32,24,47.8679,41.0,55.0,4.430445755225991,10
Sassuolo,ITA-Serie A,29,24,45.4504,38.0,53.0,4.593118748737071,11
Torino,ITA-Serie A,27,24,44.6577,37.0,52.0,4.600796747303667,12
Cagliari,ITA-Serie A,28,24,44.6294,37.0,52.0,4.576489444978542,13
Parma,ITA-Serie A,26,24,42.1138,35.0,49.0,4.391087514500252,14
Genoa,ITA-Serie A,23,24,37.8801,31.0,46.0,4.509115654981584,15
Cremonese,ITA-Serie A,23,24,36.6203,30.0,44.0,4.436724908082538,16
Fiorentina,ITA-Serie A,18,24,35.4699,28.0,43.0,4.564919932485124,17
Lecce,ITA-Serie A,21,24,34.8288,28.0,42.0,4.353882240024414,18
Pisa,ITA-Serie A,15,24,28.0935,21.0,35.0,4.3303530745194445,19
Verona,ITA-Serie A,15,24,26.4969,20.0,34.0,4.116453618103816,20
