team,league,pts,mp,ml_sim_pts,ml_p5,ml_p95,ml_projected,ml_proj_p5,ml_proj_p95,elo_projected,elo_p5,elo_p95,ml_vs_elo,ml_rank,elo_rank,rank_diff
Arsenal,ENG-Premier League,57,26,21.9,15.0,29.0,78.9,72.0,86.0,81.6,75.0,88.0,-2.6999999999999886,1,1,0
Man City,ENG-Premier League,53,26,20.5,13.0,28.0,73.5,66.0,81.0,74.4,67.0,82.0,-0.9000000000000057,2,2,0
Aston Villa,ENG-Premier League,50,26,18.7,12.0,26.0,68.7,62.0,76.0,70.9,64.0,78.0,-2.200000000000003,3,3,0
Liverpool,ENG-Premier League,42,26,21.5,14.0,28.0,63.5,56.0,70.0,63.2,56.0,70.0,0.29999999999999716,4,4,0
Chelsea,ENG-Premier League,44,26,19.0,12.0,26.0,63.0,56.0,70.0,62.7,56.0,70.0,0.29999999999999716,5,6,1
Man United,ENG-Premier League,45,26,16.2,9.0,23.0,61.2,54.0,68.0,62.8,55.0,70.0,-1.5999999999999943,6,5,-1
Brentford,ENG-Premier League,40,26,17.9,11.0,25.0,57.9,51.0,65.0,58.1,51.0,65.0,-0.20000000000000284,7,7,0
Newcastle,ENG-Premier League,36,26,18.1,11.0,25.0,54.1,47.0,61.0,53.6,47.0,61.0,0.5,8,9,1
Bournemouth,ENG-Premier League,37,26,16.9,10.0,24.0,53.9,47.0,61.0,54.2,47.0,61.0,-0.30000000000000426,9,8,-1
Everton,ENG-Premier League,37,26,15.2,9.0,22.0,52.2,46.0,59.0,52.4,45.0,60.0,-0.19999999999999574,10,10,0
Fulham,ENG-Premier League,34,26,14.8,8.0,22.0,48.8,42.0,56.0,49.9,43.0,57.0,-1.1000000000000014,11,11,0
Brighton,ENG-Premier League,31,26,16.1,10.0,23.0,47.1,41.0,54.0,47.3,40.0,55.0,-0.19999999999999574,12,13,1
Crystal Palace,ENG-Premier League,32,26,14.8,8.0,22.0,46.8,40.0,54.0,46.6,40.0,54.0,0.19999999999999574,13,14,1
Sunderland,ENG-Premier League,36,26,10.4,4.0,17.0,46.4,40.0,53.0,48.0,41.0,55.0,-1.6000000000000014,14,12,-2
Leeds,ENG-Premier League,30,26,14.4,8.0,21.0,44.4,38.0,51.0,45.6,39.0,53.0,-1.2000000000000028,15,15,0
Tottenham,ENG-Premier League,29,26,14.5,8.0,21.0,43.5,37.0,50.0,44.8,38.0,52.0,-1.2999999999999972,16,16,0
Nott'm Forest,ENG-Premier League,27,26,15.0,8.0,22.0,42.0,35.0,49.0,41.0,34.0,48.0,1.0,17,17,0
West Ham,ENG-Premier League,24,26,12.5,6.0,19.0,36.5,30.0,43.0,36.5,30.0,44.0,0.0,18,18,0
Burnley,ENG-Premier League,18,26,11.2,5.0,18.0,29.2,23.0,36.0,29.2,23.0,36.0,0.0,19,19,0
Wolves,ENG-Premier League,9,26,11.4,5.0,18.0,20.4,14.0,27.0,20.1,14.0,27.0,0.29999999999999716,20,20,0
Barcelona,ESP-La Liga,58,23,30.4,23.0,38.0,88.4,81.0,96.0,88.6,81.0,96.0,-0.19999999999998863,1,1,0
Real Madrid,ESP-La Liga,57,23,28.0,20.0,35.0,85.0,77.0,92.0,86.9,79.0,94.0,-1.9000000000000057,2,2,0
Villarreal,ESP-La Liga,45,22,25.2,17.0,33.0,70.2,62.0,78.0,70.7,62.0,79.0,-0.5,3,4,1
Ath Madrid,ESP-La Liga,45,23,24.3,17.0,32.0,69.3,62.0,77.0,72.0,64.0,80.0,-2.700000000000003,4,3,-1
Betis,ESP-La Liga,38,23,23.4,16.0,31.0,61.4,54.0,69.0,62.2,54.0,70.0,-0.8000000000000043,5,5,0
Celta,ESP-La Liga,33,23,21.1,14.0,29.0,54.1,47.0,62.0,53.7,46.0,62.0,0.3999999999999986,6,6,0
Sociedad,ESP-La Liga,31,23,21.6,14.0,30.0,52.6,45.0,61.0,51.9,44.0,60.0,0.7000000000000028,7,8,1
Espanol,ESP-La Liga,34,23,17.2,10.0,25.0,51.2,44.0,59.0,52.1,44.0,60.0,-0.8999999999999986,8,7,-1
Ath Bilbao,ESP-La Liga,28,23,22.5,15.0,30.0,50.5,43.0,58.0,48.6,41.0,57.0,1.8999999999999986,9,10,1
Osasuna,ESP-La Liga,29,23,18.5,11.0,26.0,47.5,40.0,55.0,49.0,41.0,57.0,-1.5,10,9,-1
Girona,ESP-La Liga,26,23,18.6,11.0,26.0,44.6,37.0,52.0,43.0,35.0,51.0,1.6000000000000014,11,13,2
Alaves,ESP-La Liga,25,23,18.8,11.0,27.0,43.8,36.0,52.0,42.5,35.0,50.0,1.2999999999999972,12,14,2
Getafe,ESP-La Liga,26,23,17.4,10.0,25.0,43.4,36.0,51.0,43.4,36.0,51.0,0.0,13,11,-2
Mallorca,ESP-La Liga,24,23,18.1,11.0,26.0,42.1,35.0,50.0,43.4,36.0,51.0,-1.2999999999999972,14,11,-3
Valencia,ESP-La Liga,23,23,18.5,11.0,26.0,41.5,34.0,49.0,41.9,34.0,50.0,-0.3999999999999986,15,15,0
Sevilla,ESP-La Liga,25,23,15.5,8.950000000000045,23.0,40.5,33.950000000000045,48.0,41.5,34.0,49.0,-1.0,16,17,1
Vallecano,ESP-La Liga,22,22,18.2,11.0,26.0,40.2,33.0,48.0,41.9,34.0,50.0,-1.6999999999999957,17,15,-2
Elche,ESP-La Liga,24,23,15.4,8.0,23.0,39.4,32.0,47.0,40.6,33.0,49.0,-1.2000000000000028,18,18,0
Levante,ESP-La Liga,18,22,16.8,10.0,25.0,34.8,28.0,43.0,37.0,29.0,45.0,-2.200000000000003,19,19,0
Oviedo,ESP-La Liga,16,22,16.5,9.0,24.0,32.5,25.0,40.0,32.4,25.0,40.0,0.10000000000000142,20,20,0
Paris SG,FRA-Ligue 1,51,21,27.0,20.0,34.0,78.0,71.0,85.0,79.5,73.0,86.0,-1.5,1,1,0
Lens,FRA-Ligue 1,49,21,22.1,15.0,29.0,71.1,64.0,78.0,70.6,63.0,78.0,0.5,2,2,0
Lyon,FRA-Ligue 1,42,21,20.3,13.0,28.0,62.3,55.0,70.0,63.8,56.0,71.0,-1.5,3,3,0
Marseille,FRA-Ligue 1,39,21,19.3,12.0,27.0,58.3,51.0,66.0,61.6,54.0,69.0,-3.3000000000000043,4,4,0
Lille,FRA-Ligue 1,33,21,19.7,13.0,27.0,52.7,46.0,60.0,54.1,46.0,62.0,-1.3999999999999986,5,5,0
Strasbourg,FRA-Ligue 1,30,21,18.0,11.0,25.0,48.0,41.0,55.0,50.2,42.0,58.0,-2.200000000000003,6,6,0
Rennes,FRA-Ligue 1,31,21,16.9,10.0,24.0,47.9,41.0,55.0,49.4,42.0,57.0,-1.5,7,7,0
Monaco,FRA-Ligue 1,28,21,18.7,12.0,26.0,46.7,40.0,54.0,46.5,39.0,54.0,0.20000000000000284,8,9,1
Toulouse,FRA-Ligue 1,30,21,16.6,10.0,24.0,46.6,40.0,54.0,47.3,40.0,55.0,-0.6999999999999957,9,8,-1
Angers,FRA-Ligue 1,29,21,14.9,8.0,22.0,43.9,37.0,51.0,43.0,36.0,50.0,0.8999999999999986,10,12,2
Brest,FRA-Ligue 1,26,21,17.5,10.0,25.0,43.5,36.0,51.0,43.6,36.0,51.0,-0.10000000000000142,11,11,0
Lorient,FRA-Ligue 1,28,21,15.4,9.0,23.0,43.4,37.0,51.0,44.4,37.0,52.0,-1.0,12,10,-2
Le Havre,FRA-Ligue 1,23,21,15.3,8.0,22.0,38.3,31.0,45.0,37.8,31.0,46.0,0.5,13,14,1
Nice,FRA-Ligue 1,23,21,14.4,8.0,21.0,37.4,31.0,44.0,38.0,31.0,46.0,-0.6000000000000014,14,13,-1
Paris FC,FRA-Ligue 1,22,21,13.5,7.0,21.0,35.5,29.0,43.0,35.0,28.0,42.0,0.5,15,15,0
Auxerre,FRA-Ligue 1,14,21,15.5,9.0,23.0,29.5,23.0,37.0,28.9,22.0,36.0,0.6000000000000014,16,16,0
Nantes,FRA-Ligue 1,14,21,12.6,6.0,20.0,26.6,20.0,34.0,26.4,20.0,34.0,0.20000000000000284,17,18,1
Metz,FRA-Ligue 1,13,21,13.1,7.0,20.0,26.1,20.0,33.0,26.6,20.0,34.0,-0.5,18,17,-1
Bayern Munich,GER-Bundesliga,54,21,25.4,18.0,32.0,79.4,72.0,86.0,81.7,75.0,88.0,-2.299999999999997,1,1,0
Dortmund,GER-Bundesliga,48,21,22.8,16.0,30.0,70.8,64.0,78.0,71.4,64.0,79.0,-0.6000000000000085,2,2,0
Hoffenheim,GER-Bundesliga,42,21,19.1,12.0,26.0,61.1,54.0,68.0,63.1,55.0,71.0,-2.0,3,3,0
RB Leipzig,GER-Bundesliga,39,21,21.3,14.0,29.0,60.3,53.0,68.0,59.9,52.0,67.0,0.3999999999999986,4,5,1
Leverkusen,GER-Bundesliga,36,20,22.7,15.0,30.0,58.7,51.0,66.0,60.8,53.0,68.0,-2.0999999999999943,5,4,-1
Stuttgart,GER-Bundesliga,39,21,18.8,12.0,26.0,57.8,51.0,65.0,59.4,52.0,67.0,-1.6000000000000014,6,6,0
Freiburg,GER-Bundesliga,30,21,16.7,10.0,24.0,46.7,40.0,54.0,48.4,41.0,56.0,-1.6999999999999957,7,7,0
Ein Frankfurt,GER-Bundesliga,28,21,16.8,10.0,24.0,44.8,38.0,52.0,46.3,39.0,54.0,-1.5,8,8,0
Union Berlin,GER-Bundesliga,25,21,16.2,9.0,23.0,41.2,34.0,48.0,41.5,34.0,49.0,-0.29999999999999716,9,9,0
Mainz,GER-Bundesliga,21,21,18.3,11.0,26.0,39.3,32.0,47.0,37.8,31.0,45.0,1.5,10,11,1
Hamburg,GER-Bundesliga,22,20,15.5,9.0,23.0,37.5,31.0,45.0,36.7,30.0,44.0,0.7999999999999972,11,14,3
M'gladbach,GER-Bundesliga,22,21,15.5,9.0,23.0,37.5,31.0,45.0,37.9,31.0,45.0,-0.3999999999999986,11,10,-1
Augsburg,GER-Bundesliga,22,21,14.7,8.0,22.0,36.7,30.0,44.0,37.4,30.0,45.0,-0.6999999999999957,13,12,-1
FC Koln,GER-Bundesliga,23,21,12.9,6.0,20.0,35.9,29.0,43.0,36.9,30.0,44.0,-1.0,14,13,-1
Werder Bremen,GER-Bundesliga,19,21,16.2,9.0,23.0,35.2,28.0,42.0,35.1,28.0,42.0,0.10000000000000142,15,15,0
Wolfsburg,GER-Bundesliga,19,21,15.1,8.0,22.0,34.1,27.0,41.0,33.7,27.0,41.0,0.3999999999999986,16,16,0
St Pauli,GER-Bundesliga,17,21,14.5,8.0,22.0,31.5,25.0,39.0,30.6,24.0,38.0,0.8999999999999986,17,17,0
Heidenheim,GER-Bundesliga,13,21,12.4,6.0,19.0,25.4,19.0,32.0,24.8,18.0,32.0,0.5999999999999979,18,18,0
Inter,ITA-Serie A,58,24,28.3,21.0,35.0,86.3,79.0,93.0,85.8,78.0,93.0,0.5,1,1,0
Milan,ITA-Serie A,50,23,28.1,21.0,36.0,78.1,71.0,86.0,77.3,69.0,85.0,0.7999999999999972,2,2,0
Napoli,ITA-Serie A,49,24,24.3,17.0,32.0,73.3,66.0,81.0,74.2,66.0,82.0,-0.9000000000000057,3,3,0
Juventus,ITA-Serie A,46,24,23.5,16.0,31.0,69.5,62.0,77.0,70.2,63.0,78.0,-0.7000000000000028,4,4,0
Roma,ITA-Serie A,46,24,23.2,16.0,31.0,69.2,62.0,77.0,69.7,62.0,77.0,-0.5,5,5,0
Como,ITA-Serie A,41,23,24.0,17.0,31.049999999999272,65.0,58.0,72.04999999999927,64.0,56.0,72.0,1.0,6,6,0
Atalanta,ITA-Serie A,39,24,22.8,15.0,30.0,61.8,54.0,69.0,61.1,54.0,69.0,0.6999999999999957,7,7,0
Lazio,ITA-Serie A,33,24,18.0,11.0,26.0,51.0,44.0,59.0,53.4,46.0,61.0,-2.3999999999999986,8,8,0
Bologna,ITA-Serie A,30,24,19.4,12.0,27.0,49.4,42.0,57.0,49.6,42.0,57.0,-0.20000000000000284,9,9,0
Udinese,ITA-Serie A,32,24,15.3,8.0,23.0,47.3,40.0,55.0,48.5,41.0,56.0,-1.2000000000000028,10,10,0
Sassuolo,ITA-Serie A,29,24,15.7,9.0,23.0,44.7,38.0,52.0,45.9,38.0,54.0,-1.1999999999999957,11,11,0
Torino,ITA-Serie A,27,24,16.9,10.0,24.0,43.9,37.0,51.0,44.4,37.0,52.0,-0.5,12,13,1
Cagliari,ITA-Serie A,28,24,15.5,9.0,23.0,43.5,37.0,51.0,45.2,38.0,53.0,-1.7000000000000028,13,12,-1
Parma,ITA-Serie A,26,24,15.5,9.0,23.0,41.5,35.0,49.0,42.2,35.0,50.0,-0.7000000000000028,14,14,0
Genoa,ITA-Serie A,23,24,15.3,8.0,22.0,38.3,31.0,45.0,39.6,32.0,47.0,-1.3000000000000043,15,15,0
Cremonese,ITA-Serie A,23,24,13.3,7.0,21.0,36.3,30.0,44.0,38.4,31.0,46.0,-2.1000000000000014,16,16,0
Lecce,ITA-Serie A,21,24,15.3,8.0,22.0,36.3,29.0,43.0,34.6,28.0,42.0,1.6999999999999957,16,18,2
Fiorentina,ITA-Serie A,18,24,18.2,11.0,26.0,36.2,29.0,44.0,36.2,29.0,44.0,0.0,18,17,-1
Pisa,ITA-Serie A,15,24,14.0,7.0,21.0,29.0,22.0,36.0,27.8,21.0,35.0,1.1999999999999993,19,19,0
Verona,ITA-Serie A,15,24,11.9,6.0,19.0,26.9,21.0,34.0,27.4,21.0,35.0,-0.5,20,20,0
